year,category,value,unit,scenario,figure_type
2027,NCC-H2,1.747916219999467,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2028,NCC-H2,1.8472532029723843,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2029,NCC-H2,1.9798870187876152,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2030,NCC-H2,2.1163272606726946,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2031,NCC-H2,2.4758660536808876,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2032,NCC-H2,2.3731667455753533,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2033,NCC-H2,2.27046743746982,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2034,NCC-H2,2.462274228610711,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2035,NCC-H2,2.61803849765804,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2036,NCC-H2,2.423702735360942,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2037,NCC-H2,2.3256074191883243,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2038,NCC-H2,2.035426529226991,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2039,NCC-H2,1.850664799140294,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2040,NCC-H2,1.5418530328951914,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2041,NCC-H2,1.42943602650194,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2042,NCC-H2,1.3577644792547487,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2043,NCC-H2,1.2237316161318081,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2044,NCC-H2,1.098590388092092,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
