year,category,value,unit,scenario,figure_type
2025,HD Hyundai Chemical,3.472213629032109,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,HD Hyundai Chemical,3.9495292990125077,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,HD Hyundai Chemical,3.9060129246380906,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,HD Hyundai Chemical,3.8624965502636734,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,HD Hyundai Chemical,3.801274566419454,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,HD Hyundai Chemical,3.678622900092865,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,HD Hyundai Chemical,3.5806425459584066,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,HD Hyundai Chemical,3.461636236652205,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,HD Hyundai Chemical,3.3356872996981757,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,HD Hyundai Chemical,3.209738362744147,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,HD Hyundai Chemical,3.083789425790118,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,HD Hyundai Chemical,2.8309854444219584,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,HD Hyundai Chemical,2.5772753555936987,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,HD Hyundai Chemical,2.3158622105328432,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2039,HD Hyundai Chemical,1.985700965393005,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2040,HD Hyundai Chemical,1.6543563466146731,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2041,HD Hyundai Chemical,1.4898674108640009,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2042,HD Hyundai Chemical,1.3241951014748345,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2043,HD Hyundai Chemical,1.1585227920856684,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2044,HD Hyundai Chemical,0.9940338563349966,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2045,HD Hyundai Chemical,0.8283615469458304,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2046,HD Hyundai Chemical,0.6626892375566644,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2047,HD Hyundai Chemical,0.4970169281674983,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2048,HD Hyundai Chemical,0.33134461877833216,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2049,HD Hyundai Chemical,0.1656723093891661,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2050,HD Hyundai Chemical,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2025,Hanwha TotalEnergies,5.2081598308837505,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,Hanwha TotalEnergies,5.935855938664075,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,Hanwha TotalEnergies,5.882328071811836,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,Hanwha TotalEnergies,5.828800204959598,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,Hanwha TotalEnergies,5.744648678166373,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,Hanwha TotalEnergies,5.56022541947254,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,Hanwha TotalEnergies,5.412898793274595,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,Hanwha TotalEnergies,5.215967696338878,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,Hanwha TotalEnergies,5.002657539941325,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,Hanwha TotalEnergies,4.78934738354377,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,Hanwha TotalEnergies,4.576037227146218,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,Hanwha TotalEnergies,4.147882308909402,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,Hanwha TotalEnergies,3.7181927852308765,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,Hanwha TotalEnergies,3.285558273401188,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2039,Hanwha TotalEnergies,2.8171521628856375,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2040,Hanwha TotalEnergies,2.3470671774220033,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2041,Hanwha TotalEnergies,2.1137035596382705,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2042,Hanwha TotalEnergies,1.8786610669064532,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
