year,category,value,unit,scenario,figure_type
2047,Baseline,4.8665866738933286,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,Baseline,3.7582322166892133,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,Baseline,0.8274149483688948,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2025,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2026,NCC-H2,1.6753981662075375,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2027,NCC-H2,1.7888409374116538,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2028,NCC-H2,1.8472532029723843,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2029,NCC-H2,2.0054593300089154,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2030,NCC-H2,2.1163272606726946,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2031,NCC-H2,2.4758660536808876,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2032,NCC-H2,2.3731667455753533,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2033,NCC-H2,2.27046743746982,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2034,NCC-H2,2.425517341798179,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2035,NCC-H2,2.61803849765804,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2036,NCC-H2,2.423702735360942,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2037,NCC-H2,2.2279085616293295,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2038,NCC-H2,2.07286531906328,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2039,NCC-H2,1.777346962385377,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2040,NCC-H2,1.5880784847190241,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2041,NCC-H2,1.4301794079121968,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2042,NCC-H2,1.3517519466395727,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2043,NCC-H2,1.2144249414294008,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2044,NCC-H2,1.0965568649968376,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2045,NCC-H2,0.945622850573501,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2046,NCC-H2,0.7991196019186866,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2047,NCC-H2,0.6276106322754789,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,NCC-H2,0.42468951725842247,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,NCC-H2,0.22566185499691402,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2025,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2026,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2027,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2028,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2029,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2030,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2031,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2032,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2033,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2034,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2035,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2036,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2037,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2038,RDH,4.246964837800309,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2039,RDH,3.641495655507879,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2040,RDH,3.0338563327771246,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2041,RDH,2.7322068118500713,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2042,RDH,2.4283871504846943,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2043,RDH,2.1245674891193165,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2044,RDH,1.8229179681922638,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2045,RDH,1.5190983068268864,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2046,RDH,1.215278645461509,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2047,RDH,0.9114589840961318,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,RDH,0.6076393227307545,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,RDH,0.30381966136537725,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2025,Heat_Pump,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2026,Heat_Pump,0.23455393143579661,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2027,Heat_Pump,0.2248041980220774,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
