year,category,value,unit,scenario,figure_type
2025,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2026,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2027,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2028,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2029,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2030,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2031,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2032,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2033,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2034,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2035,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2036,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2037,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2038,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2039,RDH,3.641495655507879,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2040,RDH,3.0338563327771246,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2041,RDH,2.7322068118500713,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2042,RDH,2.4283871504846943,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2043,RDH,2.1245674891193165,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2044,RDH,1.8229179681922638,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2045,RDH,1.5190983068268864,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2046,RDH,1.215278645461509,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2047,RDH,0.9114589840961318,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2048,RDH,0.6076393227307545,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2049,RDH,0.30381966136537725,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2050,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2025,Heat_Pump,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
