year,category,value,unit,figure_type
2049,shaheen_ncc_h2_rising_coupled,100.99562361,billion_USD,line
2050,shaheen_ncc_h2_rising_coupled,106.72546871,billion_USD,line
2025,shaheen_ncc_h2_rising_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_rising_decoupled,2.1447131999999995,billion_USD,line
2027,shaheen_ncc_h2_rising_decoupled,4.43367435,billion_USD,line
2028,shaheen_ncc_h2_rising_decoupled,6.84659745,billion_USD,line
2029,shaheen_ncc_h2_rising_decoupled,9.1501935,billion_USD,line
2030,shaheen_ncc_h2_rising_decoupled,11.7501825,billion_USD,line
2031,shaheen_ncc_h2_rising_decoupled,14.8097782,billion_USD,line
2032,shaheen_ncc_h2_rising_decoupled,17.8139416,billion_USD,line
2033,shaheen_ncc_h2_rising_decoupled,20.80149785,billion_USD,line
2034,shaheen_ncc_h2_rising_decoupled,23.97211915,billion_USD,line
2035,shaheen_ncc_h2_rising_decoupled,27.51531055,billion_USD,line
2036,shaheen_ncc_h2_rising_decoupled,30.98923975,billion_USD,line
2037,shaheen_ncc_h2_rising_decoupled,34.49251925,billion_USD,line
2038,shaheen_ncc_h2_rising_decoupled,38.17568405,billion_USD,line
2039,shaheen_ncc_h2_rising_decoupled,41.78234165,billion_USD,line
2040,shaheen_ncc_h2_rising_decoupled,45.5107877,billion_USD,line
2041,shaheen_ncc_h2_rising_decoupled,49.297882025,billion_USD,line
2042,shaheen_ncc_h2_rising_decoupled,53.257854125,billion_USD,line
2043,shaheen_ncc_h2_rising_decoupled,57.31845525,billion_USD,line
2044,shaheen_ncc_h2_rising_decoupled,61.55721495,billion_USD,line
2045,shaheen_ncc_h2_rising_decoupled,65.8339304,billion_USD,line
2046,shaheen_ncc_h2_rising_decoupled,70.2753086,billion_USD,line
2047,shaheen_ncc_h2_rising_decoupled,74.693828825,billion_USD,line
2048,shaheen_ncc_h2_rising_decoupled,79.422377895,billion_USD,line
2049,shaheen_ncc_h2_rising_decoupled,84.5846827,billion_USD,line
2050,shaheen_ncc_h2_rising_decoupled,90.3145278,billion_USD,line
2025,shaheen_ncc_elec_flat_coupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_flat_coupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_flat_coupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_flat_coupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_flat_coupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_flat_coupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_flat_coupled,8.93143636,billion_USD,line
2032,shaheen_ncc_elec_flat_coupled,13.765631215,billion_USD,line
2033,shaheen_ncc_elec_flat_coupled,18.5204816475,billion_USD,line
2034,shaheen_ncc_elec_flat_coupled,23.1959876575,billion_USD,line
2035,shaheen_ncc_elec_flat_coupled,27.792149245,billion_USD,line
2036,shaheen_ncc_elec_flat_coupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_flat_coupled,36.7464391525,billion_USD,line
2038,shaheen_ncc_elec_flat_coupled,43.1696693925,billion_USD,line
2039,shaheen_ncc_elec_flat_coupled,49.478290575,billion_USD,line
2040,shaheen_ncc_elec_flat_coupled,55.6723027,billion_USD,line
2041,shaheen_ncc_elec_flat_coupled,61.7517057675,billion_USD,line
2042,shaheen_ncc_elec_flat_coupled,67.7164997775,billion_USD,line
2043,shaheen_ncc_elec_flat_coupled,73.56668473,billion_USD,line
2044,shaheen_ncc_elec_flat_coupled,79.302260625,billion_USD,line
2045,shaheen_ncc_elec_flat_coupled,84.9232274625,billion_USD,line
2046,shaheen_ncc_elec_flat_coupled,90.4295852425,billion_USD,line
2047,shaheen_ncc_elec_flat_coupled,95.821333965,billion_USD,line
2048,shaheen_ncc_elec_flat_coupled,101.09847363,billion_USD,line
2049,shaheen_ncc_elec_flat_coupled,106.2610042375,billion_USD,line
2050,shaheen_ncc_elec_flat_coupled,111.3089257875,billion_USD,line
2025,shaheen_ncc_elec_flat_decoupled,0.0,billion_USD,line
