year,category,value,unit,scenario,figure_type
2026,Yeochon NCC,6.923189125321034,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,Yeochon NCC,6.9094751417952365,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,Yeochon NCC,6.895761158269438,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,Yeochon NCC,6.88204717474364,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,Yeochon NCC,6.868333191217841,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,Yeochon NCC,3.409988877754762,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,Yeochon NCC,3.3841656119164947,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,Yeochon NCC,3.3583423460782265,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,Yeochon NCC,3.3325190802399587,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,Yeochon NCC,2.7315368477038913,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,Yeochon NCC,2.674995129429126,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,Yeochon NCC,2.6182507526659213,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,Yeochon NCC,2.5617090343911553,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,Yeochon NCC,2.5051673161163905,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,Yeochon NCC,2.448422939353186,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,Yeochon NCC,2.420253409460023,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,Yeochon NCC,2.3918812210784206,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,Yeochon NCC,2.363509032696818,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,Yeochon NCC,2.3353395028036554,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,Yeochon NCC,2.3069673144220526,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,Yeochon NCC,0.4028349812269392,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,Yeochon NCC,0.3665860435389249,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,Yeochon NCC,0.2708229905628068,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,Yeochon NCC,0.15057357501870874,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,Yeochon NCC,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,Hanwha TotalEnergies,5.2081598308837505,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,Hanwha TotalEnergies,3.694689994546019,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,Hanwha TotalEnergies,3.628740856871233,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,Hanwha TotalEnergies,3.5627917191964475,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,Hanwha TotalEnergies,3.4968425815216624,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,Hanwha TotalEnergies,3.430893443846877,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,Hanwha TotalEnergies,3.378209937313571,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,Hanwha TotalEnergies,3.325526430780265,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,Hanwha TotalEnergies,3.2728429242469597,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,Hanwha TotalEnergies,2.992852789680755,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,Hanwha TotalEnergies,1.4946964646462184,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,Hanwha TotalEnergies,1.374124398909402,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,Hanwha TotalEnergies,1.253120175230877,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,Hanwha TotalEnergies,1.1325481094940613,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,Hanwha TotalEnergies,1.0119760437572451,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,Hanwha TotalEnergies,0.8909718200787201,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,Hanwha TotalEnergies,0.8309018661811666,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,Hanwha TotalEnergies,0.7703997543419041,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,Hanwha TotalEnergies,0.7098976425026415,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,Hanwha TotalEnergies,0.649827688605088,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,Hanwha TotalEnergies,0.5893255767658256,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,Hanwha TotalEnergies,0.528823464926563,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,Hanwha TotalEnergies,0.46832135308730055,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,Hanwha TotalEnergies,0.407819241248038,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,Hanwha TotalEnergies,0.34731712940877546,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,Hanwha TotalEnergies,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,S-Oil Shaheen,4.435028855508218,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,S-Oil Shaheen,4.889001307314525,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,S-Oil Shaheen,4.857757355287327,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,S-Oil Shaheen,4.826513403260129,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,S-Oil Shaheen,4.79526945123293,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,S-Oil Shaheen,2.0600701881664922,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,S-Oil Shaheen,2.023398853360513,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,S-Oil Shaheen,1.9867275185545334,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,S-Oil Shaheen,1.950056183748554,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,S-Oil Shaheen,1.9133848489425744,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,S-Oil Shaheen,1.8767135141365947,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,S-Oil Shaheen,1.8031070219720748,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,S-Oil Shaheen,1.7292367072549937,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,S-Oil Shaheen,1.6556302150904738,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,S-Oil Shaheen,1.582023722925954,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,S-Oil Shaheen,1.5081534082088726,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,S-Oil Shaheen,0.3744664420623941,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,S-Oil Shaheen,0.33282601165037246,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,S-Oil Shaheen,0.2911855812383509,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,S-Oil Shaheen,0.2498425824721295,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,S-Oil Shaheen,0.20820215206010792,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,S-Oil Shaheen,0.16656172164808633,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,S-Oil Shaheen,0.12492129123606474,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,S-Oil Shaheen,0.08328086082404317,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,S-Oil Shaheen,0.04164043041202158,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,S-Oil Shaheen,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,GS Caltex,3.6331937884299026,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,GS Caltex,4.143723312141414,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,GS Caltex,2.779287870246444,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,GS Caltex,2.7375077396342617,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,GS Caltex,2.69572760902208,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,GS Caltex,2.6539474784098975,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,GS Caltex,2.6205713970587867,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,GS Caltex,2.587195315707676,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,GS Caltex,2.5538192343565655,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,GS Caltex,2.5204431530054547,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,GS Caltex,2.4870670716543435,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,GS Caltex,2.4200747932589484,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,GS Caltex,2.3528423991703793,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,GS Caltex,2.2858501207749837,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,GS Caltex,2.218857842379589,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,GS Caltex,2.1516254482910204,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,GS Caltex,2.118249366939909,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,GS Caltex,2.084633169895625,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,GS Caltex,2.0510169728513405,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,GS Caltex,0.6179462081684478,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,GS Caltex,0.5784025892256224,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,GS Caltex,0.5388589702827968,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,GS Caltex,0.49931535133997146,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,GS Caltex,0.459771732397146,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,GS Caltex,0.26205342746207094,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,GS Caltex,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,SK Geocentric,3.5043691100027528,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,SK Geocentric,3.015040495174907,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,SK Geocentric,2.964627979010606,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,SK Geocentric,2.9142154628463053,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,SK Geocentric,2.863802946682004,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,SK Geocentric,2.8133904305177033,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,SK Geocentric,2.7731183630071414,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,SK Geocentric,2.732846295496579,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,SK Geocentric,2.692574227986017,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,SK Geocentric,2.455303082846943,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,SK Geocentric,2.414224099127025,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,SK Geocentric,2.3317705994302123,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,SK Geocentric,2.249021567476422,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,SK Geocentric,2.166568067779609,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,SK Geocentric,2.084114568082796,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,SK Geocentric,2.0013655361290055,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
