year,category,value,unit,figure_type
2044,NCC-H2,4.523267077357789,MtCO2_per_yr,stacked_area
2044,RDH,12.760425777345846,MtCO2_per_yr,stacked_area
2045,Baseline,49.07338362047571,MtCO2_per_yr,stacked_area
2045,Heat_Pump,0.3137845236599286,MtCO2_per_yr,stacked_area
2045,NCC-Electricity,36.459905322568424,MtCO2_per_yr,stacked_area
2045,NCC-H2,3.8909046356040125,MtCO2_per_yr,stacked_area
2045,RDH,10.633688147788206,MtCO2_per_yr,stacked_area
2046,Baseline,36.42503282666837,MtCO2_per_yr,stacked_area
2046,Heat_Pump,0.2510276189279429,MtCO2_per_yr,stacked_area
2046,NCC-Electricity,29.167924258054736,MtCO2_per_yr,stacked_area
2046,NCC-H2,3.2967988803739647,MtCO2_per_yr,stacked_area
2046,RDH,8.506950518230562,MtCO2_per_yr,stacked_area
2047,Baseline,27.288595681507456,MtCO2_per_yr,stacked_area
2047,Heat_Pump,0.18827071419595717,MtCO2_per_yr,stacked_area
2047,NCC-Electricity,21.875943193541055,MtCO2_per_yr,stacked_area
2047,NCC-H2,2.552452140362416,MtCO2_per_yr,stacked_area
2047,RDH,6.380212888672923,MtCO2_per_yr,stacked_area
2048,Baseline,17.799869443620608,MtCO2_per_yr,stacked_area
2048,Heat_Pump,0.12551380946397145,MtCO2_per_yr,stacked_area
2048,NCC-Electricity,14.583962129027368,MtCO2_per_yr,stacked_area
2048,NCC-H2,1.755472247106197,MtCO2_per_yr,stacked_area
2048,RDH,4.457910430122517,MtCO2_per_yr,stacked_area
2049,Baseline,8.311732240016019,MtCO2_per_yr,stacked_area
2049,Heat_Pump,0.06275690473198572,MtCO2_per_yr,stacked_area
2049,NCC-Electricity,7.291981064513684,MtCO2_per_yr,stacked_area
2049,NCC-H2,0.8990715833451787,MtCO2_per_yr,stacked_area
2049,RDH,2.328803659401857,MtCO2_per_yr,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,stacked_area
2050,Heat_Pump,0.0,MtCO2_per_yr,stacked_area
2050,NCC-Electricity,0.0,MtCO2_per_yr,stacked_area
2050,NCC-H2,0.0,MtCO2_per_yr,stacked_area
2050,RDH,0.0,MtCO2_per_yr,stacked_area
